data,descricao,categoria,pagamento,valor
2024-01-01,Lançamento teste #1 — 2024-01 (venda),venda,dinheiro,80.00
2024-01-08,Lançamento teste #2 — 2024-01 (recorrente),recorrente,cartao_credito,64.65
2024-01-15,Lançamento teste #3 — 2024-01 (venda),venda,dinheiro,113.50
2024-01-22,Lançamento teste #4 — 2024-01 (recorrente),recorrente,cartao_credito,94.15
2024-01-29,Lançamento teste #5 — 2024-01 (venda),venda,dinheiro,147.00
2024-01-05,Lançamento teste #6 — 2024-01 (recorrente),recorrente,cartao_credito,73.65
2024-01-12,Lançamento teste #7 — 2024-01 (venda),venda,dinheiro,180.50
2024-01-19,Lançamento teste #8 — 2024-01 (recorrente),recorrente,cartao_credito,78.65
2024-01-26,Lançamento teste #9 — 2024-01 (venda),venda,dinheiro,189.50
2024-01-02,Lançamento teste #10 — 2024-01 (recorrente),recorrente,cartao_credito,108.15
2024-01-09,Lançamento teste #11 — 2024-01 (venda),venda,dinheiro,223.00
2024-01-16,Lançamento teste #12 — 2024-01 (recorrente),recorrente,cartao_credito,87.65
2024-01-23,Lançamento teste #13 — 2024-01 (venda),venda,dinheiro,256.50
2024-01-30,Lançamento teste #14 — 2024-01 (recorrente),recorrente,cartao_credito,117.15
2024-01-06,Lançamento teste #15 — 2024-01 (venda),venda,dinheiro,265.50
2024-01-13,Lançamento teste #16 — 2024-01 (recorrente),recorrente,cartao_credito,72.15
2024-01-20,Lançamento teste #17 — 2024-01 (venda),venda,dinheiro,299.00
2024-01-27,Lançamento teste #18 — 2024-01 (recorrente),recorrente,cartao_credito,101.65
2024-02-04,Lançamento teste #19 — 2024-02 (outro),outro,dinheiro,183.00
2024-02-11,Lançamento teste #20 — 2024-02 (servico),servico,cartao_credito,1273.75
2024-02-18,Lançamento teste #21 — 2024-02 (outro),outro,dinheiro,48.50
2024-02-25,Lançamento teste #22 — 2024-02 (servico),servico,cartao_credito,1348.75
2024-02-03,Lançamento teste #23 — 2024-02 (outro),outro,dinheiro,49.50
2024-02-10,Lançamento teste #24 — 2024-02 (servico),servico,cartao_credito,1448.25
2024-02-17,Lançamento teste #25 — 2024-02 (outro),outro,dinheiro,75.00
2024-02-24,Lançamento teste #26 — 2024-02 (servico),servico,cartao_credito,1547.75
2024-02-02,Lançamento teste #27 — 2024-02 (outro),outro,dinheiro,100.50
2024-02-09,Lançamento teste #28 — 2024-02 (servico),servico,cartao_credito,1647.25
2024-02-16,Lançamento teste #29 — 2024-02 (outro),outro,dinheiro,101.50
2024-02-23,Lançamento teste #30 — 2024-02 (servico),servico,cartao_credito,1722.25
2024-02-01,Lançamento teste #31 — 2024-02 (outro),outro,dinheiro,127.00
2024-02-08,Lançamento teste #32 — 2024-02 (servico),servico,cartao_credito,471.75
2024-02-15,Lançamento teste #33 — 2024-02 (outro),outro,dinheiro,152.50
2024-02-22,Lançamento teste #34 — 2024-02 (servico),servico,cartao_credito,571.25
2024-02-29,Lançamento teste #35 — 2024-02 (outro),outro,dinheiro,178.00
2024-02-07,Lançamento teste #36 — 2024-02 (servico),servico,cartao_credito,646.25
2024-03-07,Lançamento teste #37 — 2024-03 (recorrente),recorrente,dinheiro,63.40
2024-03-14,Lançamento teste #38 — 2024-03 (venda),venda,cartao_credito,532.25
2024-03-21,Lançamento teste #39 — 2024-03 (recorrente),recorrente,dinheiro,92.90
2024-03-28,Lançamento teste #40 — 2024-03 (venda),venda,cartao_credito,565.75
2024-03-04,Lançamento teste #41 — 2024-03 (recorrente),recorrente,dinheiro,72.40
2024-03-11,Lançamento teste #42 — 2024-03 (venda),venda,cartao_credito,599.25
2024-03-18,Lançamento teste #43 — 2024-03 (recorrente),recorrente,dinheiro,77.40
2024-03-25,Lançamento teste #44 — 2024-03 (venda),venda,cartao_credito,608.25
2024-03-01,Lançamento teste #45 — 2024-03 (recorrente),recorrente,dinheiro,106.90
2024-03-08,Lançamento teste #46 — 2024-03 (venda),venda,cartao_credito,641.75
2024-03-15,Lançamento teste #47 — 2024-03 (recorrente),recorrente,dinheiro,86.40
2024-03-22,Lançamento teste #48 — 2024-03 (venda),venda,cartao_credito,675.25
2024-03-29,Lançamento teste #49 — 2024-03 (recorrente),recorrente,dinheiro,115.90
2024-03-05,Lançamento teste #50 — 2024-03 (venda),venda,cartao_credito,684.25
2024-03-12,Lançamento teste #51 — 2024-03 (recorrente),recorrente,dinheiro,70.90
2024-03-19,Lançamento teste #52 — 2024-03 (venda),venda,cartao_credito,117.75
2024-03-26,Lançamento teste #53 — 2024-03 (recorrente),recorrente,dinheiro,100.40
2024-03-02,Lançamento teste #54 — 2024-03 (venda),venda,cartao_credito,151.25
2024-04-10,Lançamento teste #55 — 2024-04 (servico),servico,dinheiro,1497.50
2024-04-17,Lançamento teste #56 — 2024-04 (outro),outro,cartao_credito,167.25
2024-04-24,Lançamento teste #57 — 2024-04 (servico),servico,dinheiro,1572.50
2024-04-01,Lançamento teste #58 — 2024-04 (outro),outro,cartao_credito,168.25
2024-04-08,Lançamento teste #59 — 2024-04 (servico),servico,dinheiro,1672.00
2024-04-15,Lançamento teste #60 — 2024-04 (outro),outro,cartao_credito,193.75
2024-04-22,Lançamento teste #61 — 2024-04 (servico),servico,dinheiro,421.50
2024-04-29,Lançamento teste #62 — 2024-04 (outro),outro,cartao_credito,59.25
2024-04-06,Lançamento teste #63 — 2024-04 (servico),servico,dinheiro,521.00
2024-04-13,Lançamento teste #64 — 2024-04 (outro),outro,cartao_credito,60.25
2024-04-20,Lançamento teste #65 — 2024-04 (servico),servico,dinheiro,596.00
2024-04-27,Lançamento teste #66 — 2024-04 (outro),outro,cartao_credito,85.75
2024-04-04,Lançamento teste #67 — 2024-04 (servico),servico,dinheiro,695.50
2024-04-11,Lançamento teste #68 — 2024-04 (outro),outro,cartao_credito,111.25
2024-04-18,Lançamento teste #69 — 2024-04 (servico),servico,dinheiro,795.00
2024-04-25,Lançamento teste #70 — 2024-04 (outro),outro,cartao_credito,136.75
2024-04-02,Lançamento teste #71 — 2024-04 (servico),servico,dinheiro,870.00
2024-04-09,Lançamento teste #72 — 2024-04 (outro),outro,cartao_credito,137.75
2024-05-13,Lançamento teste #73 — 2024-05 (venda),venda,dinheiro,351.00
2024-05-20,Lançamento teste #74 — 2024-05 (recorrente),recorrente,cartao_credito,91.65
